rank	run	span	file	line	score	style	severity	type	finding	suggestion
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	elizarenkova-veda	major	missing_iast_on_first_mention	Термины 'дхату', 'mokṣ', 'jāgṛ', 'ghas', 'vac' приведены в латинице без IAST (International Alphabet of Sanskrit Transliteration) при первом упоминании и в русской передаче без указания санскритского оригинала. Согласно стилю, при первом упоминании термин должен даваться в русской передаче с IAST в скобках, например: 'дхату (dhātu)', 'мокш (mokṣ)', 'джагр (jāgṛ)' и т.д.	Исправить: '...назывался дхату (dhātu). Помимо очевидно вторичных корней, даже некоторые из так называемых первичных корней, как мокш (mokṣ), джагр (jāgṛ) и др. считались деривативными. ...корни, у которых не хватало форм ... или были известны только именные деривативы и не известны финитные формы, как гхас (ghas), вак (vac) и т.д.'
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	elizarenkova-veda	minor	unsupported_semantization	Утверждение 'корень имеет одно значение в одной местности и другое — в другой местности' не подтверждено конкретным примером из ведийских текстов и может быть воспринято как обобщение без опоры на форму. Стиль Елизаренковой требует осторожной семантизации с опорой на контекст.	Желательно добавить пример из ведийского корпуса, иллюстрирующий диалектные различия, или смягчить формулировку добавлением оговорки (например, 'по-видимому').
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	lidova-commentary	major	missing_tradition_context	В параграфе обсуждается понятие корня (дхату) и взгляды грамматиков, но без связи с традицией комментария, школой и авторитетом. Отсутствует культурно-историческая рамка: как это знание передавалось, толковалось, кем и для чего.	Добавить контекст: указать, в какой школе (например, Панинийская) формировалось это понятие, как комментарии (бхашьи, варттики) развивали или оспаривали взгляды на корни, какие авторитеты стояли за разными классификациями.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	lidova-commentary	major	commentary_function_gap	Перечисляются факты о корнях, но не объясняется их функция в системе комментария: зачем грамматикам нужно было выделять корни, как это связано с экзегезой текстов (Вед, Брахман и т.д.).	Уточнить, что понимание корня как теоретической абстракции было необходимо для построения комментария к Ведам и грамматическим текстам; привести пример, как разбор корня используется в толковании сакрального текста.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	panini-traditional	major	missing_iast_on_first_mention	Термин 'дхату' введён без IAST и без пояснения. Согласно стилю, туземный термин при первом упоминании должен быть дан в русской передаче и IAST: 'дхату (dhātu)'. Кроме того, не указано, что это термин вьякараны.	Заменить 'назывался дхату' на 'назывался дхату (dhātu) — термин грамматики Панини, обозначающий глагольный корень или основу'.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	panini-traditional	major	missing_commentary_layer	Фраза 'не все корни одинаково продуктивны, а другие и вовсе дефективны' взята из комментаторской традиции, но не атрибутирована. Не указано, какой комментатор (например, Катьяяна или Патанджали) отмечал это различие. Без атрибуции толкование сливается с авторским мнением.	Уточнить: 'Комментаторы, в частности Патанджали в Махабхашье, отмечали, что не все корни одинаково продуктивны: некоторые являются дефективными (anitya) или имеют только именные деривативы.'
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	panini-traditional	minor	missing_sutra_reference	Упоминаются корни *mokṣ*, *jāgṛ* как деривативные, но не дана ссылка на сутру или правило Панини, по которому они считаются вторичными. В стиле требуется указывать номер сутры при обсуждении правил.	Добавить ссылку, например: '…как *mokṣ* (ср. Панини 1.3.17, где корень считается деривативным) и *jāgṛ* (ср. правило о вторичных корнях)'.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	panini-traditional	minor	missing_commentary_layer	Утверждение 'не все корни одинаково продуктивны' не подкреплено ссылкой на конкретного комментатора. Это создаёт впечатление, что автор говорит от себя, а не опирается на традицию.	Добавить: 'Как отмечается в комментариях, в частности в Махабхашье на сутру 1.3.1, корни делятся на utpanna (производные) и anutpanna (непроизводные), причём некоторые из них имеют ограниченное употребление.'
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	toporov-etym	major	missing_iast_on_first_mention	Термины 'mokṣ', 'jāgṛ', 'ghas', 'vac' впервые упоминаются в тексте, но не снабжены IAST-транслитерацией (они уже в IAST? Нет, это латиница, но не в системе IAST: 'mokṣ' должно быть mokṣ, 'jāgṛ' — jāgṛ, 'ghas' — ghas, 'vac' — vac, но без диакритики; требуется явное указание IAST при первом упоминании).	При первом упоминании каждого санскритского корня привести форму в IAST, например: mokṣ (IAST: mokṣ), jāgṛ (IAST: jāgṛ), ghas (IAST: ghas), vac (IAST: vac).
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	toporov-etym	minor	unsupported_sanskrit_etymology	Не указано, какие грамматики и в какие периоды отмечали ареальные различия глагольных форм; ссылка на 'грамматики' без конкретики ослабляет аргументацию.	Добавить конкретные ссылки на грамматические школы (например, Панини, комментаторы) или указать, что это общее место в традиции.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	tronsky-readings	major	missing_source	Утверждения о древнеиндийских грамматиках (Панини, дхатупатха) даны без библиографических ссылок. Например, утверждение 'Панини должен был предположить наличие шипящего звука в таких корнях, как majj и bhrajj' не подкреплено источником.	Добавить ссылки на конкретные сутры Панини или комментарии к ним, например: 'ср. Aṣṭādhyāyī 6.1.68', или на современное исследование, например, '(Cardona 1997: 123)'.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	zaliznyak-method	major	missing_source	Утверждение, что корни *mokṣ*, *jāgṛ* и др. считались деривативными, не подкреплено ссылкой на конкретных грамматиков или тексты дхатупатхи.	Указать, у каких именно грамматиков (например, Панини, Шакатаяна) эти корни трактуются как деривативные, и привести цитату или отсылку к изданию.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	zaliznyak-method	major	logical_gap	Фраза 'корни, у которых не хватало форм или совпадали определенные формы, или были известны только именные деривативы и не известны финитные формы' не различает дефектность в синхронии (у Панини) и диахронии (историческая утрата). Требуется логическая ясность.	Разделить дефектность на: (а) парадигматические лакуны в системе Панини (например, корни, не образующие всех времён) и (б) историческую утрату финитных форм, засвидетельствованную в ведийском корпусе.
1	gasuns2026-17-glava2-06	p002	02_gasuns-dhatu-PhD-text2.mdx	1996	33	zaliznyak-method	minor	missing_source	Утверждение о территориальной вариативности глагольных форм и значений корней в Индостане не подкреплено конкретными примерами или ссылками.	Привести хотя бы один задокументированный пример (например, распределение форм корня *bhū* в разных пракритах) с указанием источника.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	elizarenkova-veda	major	missing_iast_on_first_mention	Корни 'majj', 'bhrajj', 'gai', 'styai', 'turv', 'jurv', 'tūrv', 'jūrv' даны в латинице без IAST и без русской передачи. Согласно стилю, при первом упоминании требуется русская передача с IAST.	Исправить: 'в таких корнях, как мадж (majj) и бхрадж (bhrajj), ... форма, оканчивающаяся на дифтонги, как гай (gai), стъяй (styai), ... репрезентативная форма, оканчивающаяся на -урв (-urv) (турв (turv), джурв (jurv) и т.д.) может оказаться исторически значимее первозданных форм на долгое -у (-ū) (тӯрв (tūrv), джӯрв (jūrv) и т.д.)'.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	lidova-commentary	moderate	weak_genre_framing	Обсуждается выбор репрезентативных форм корней у Панини, но не указан жанровый контекст: сутры, комментарии к ним, лексикографические традиции (дхатупатха).	Показать, что данные формы — результат грамматического анализа, зафиксированный в жанре сутры; указать, какие позднейшие комментарии (тика, бхашья) развивают эту идею, и как это связано с традицией абляута.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	panini-traditional	major	missing_iast_on_first_mention	Корни *majj*, *bhrajj*, *gai*, *styai*, *turv*, *jurv* даны только в латинице без IAST (кавычки не учитываются). В стиле требуется IAST на первое упоминание санскритских форм. Кроме того, форма 'gai' должна быть 'gāi' (с долгой ā) для точности.	Исправить: 'majj, bhrajj' → 'majj, bhrajj' (они же в IAST, но оформить курсивом); 'gai' → 'gāi'; 'styai' → 'styāi'; 'turv' → 'turv'; 'jurv' → 'jurv'. Также добавить IAST на первое упоминание в тексте, например: '…в таких корнях, как *máj* и *bhráj* (IAST: majj, bhrajj)'.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	panini-traditional	major	unattributed_commentary	Выбор репрезентативных форм в дхатупатхе приписывается 'Панини', но не указано, какой комментатор обсуждал этот выбор. Стиль требует атрибутировать толкование конкретному комментатору (например, Катьяяна или Патанджали).	Уточнить: 'Панини в своей дхатупатхе, как обсуждается в варттиках Катьяяны, выбрал формы…' или 'Согласно комментарию Патанджали на сутру 1.3.1, форма на -ai …'.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	toporov-etym	major	missing_iast_on_first_mention	Корни 'majj', 'bhrajj', 'gai', 'styai', 'turv', 'jurv', 'tūrv', 'jūrv' не представлены в IAST при первом упоминании.	Привести формы в IAST: majj (IAST: majj), bhrajj (IAST: bhrajj), gai (IAST: gāi), styai (IAST: styai), turv (IAST: turv), jurv (IAST: jurv), tūrv (IAST: tūrv), jūrv (IAST: jūrv).
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	tronsky-readings	major	missing_source	Упоминание 'Петербургских словарей' и 'У. Уитни' без инициалов и точных выходных данных. Уитни упоминается только как 'У. Уитни', что соответствует требованиям (инициалы есть), но ссылка на словари неполна.	Исправить на 'Петербургский словарь (Böhtlingk, Roth 1855–1875)' и указать инициалы Уитни: 'У. Д. Уитни' при первом упоминании.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	zaliznyak-method	major	insufficient_evidence	Утверждение, что Панини должен был предположить наличие шипящего в корнях *majj* и *bhrajj*, не мотивировано: неясно, идёт ли речь о реконструкции праформы или о графической репрезентации. Отсутствует ссылка на конкретное правило Аштадхьяи.	Уточнить, какое именно правило Панини (например, 8.2.36) требует шипящего, и показать, как это связано с санскритской морфонологией.
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	zaliznyak-method	minor	missing_source	Упоминание 'Петербургских словарей' и 'У. Уитни' без указания конкретных изданий и томов.	Дать точные библиографические ссылки: Böhtlingk & Roth (1855–1875) и Whitney (1885, The Roots, Verb-Forms and Primary Derivatives of the Sanskrit Language).
2	gasuns2026-17-glava2-06	p003	02_gasuns-dhatu-PhD-text2.mdx	1998	25	zaliznyak-method	minor	logical_gap	Фраза 'репрезентативная форма, оканчивающаяся на -urv, может оказаться исторически значимее первозданных форм на долгое ū' не объясняет, почему и на каком основании. Отсутствует рассуждение об аблауте.	Добавить пояснение: формы на -urv могут отражать ступень редукции (нулевую ступень) в сравнении с полной ступенью на -ūr, что важно для теории аблаута.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	elizarenkova-veda	minor	missing_context_of_hymn	Упоминание опечатки у Бакнелла (√ *sūd* [? – 1; 391]) не сопровождается контекстом гимна или объяснением, почему это ведийский корень. Стиль требует привязки к конкретному ведийскому тексту.	Указать, в каком ведийском тексте и контексте встречается корень √sūd, или обосновать его ведийскую атрибуцию.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	lidova-commentary	major	missing_tradition_context	Упоминание опечатки у Бакнелла (√sūd) дано как факт, но не встроено в контекст традиции комментирования: не указано, что такие пропуски отражают избирательность европейских списков по сравнению с индийской дхатупатхой.	Покажите, что расхождения между списками Уитни, Бакнелла и индийской традицией (Панини, дхатупатха) являются следствием разных принципов канонизации корней: один ориентирован на ведийский корпус, другой — на классический санскрит. Опечатка может служить примером того, как текстологическая случайность влияет на восприятие традиции.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	panini-traditional	minor	missing_iast_on_first_mention	Термин «сет» и «анит» не введены в IAST при первом упоминании в данном сегменте.	При первом упоминании *seṭ*/*aniṭ* указать: «*seṭ* (с вставным *i*, *seṭ*) и *aniṭ* (без вставного *i*, *aniṭ*)», возможно, со ссылкой на работу [Whitney 1889].
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	toporov-etym	minor	unsupported_sanskrit_etymology	Корень √ *sūd* помечен как опечатка, но не дано стандартное написание или IAST.	Укажите корректную форму: √ *sūd* (IAST: √ *sūd*) или укажите, что это *sūd* с долгой ū.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	toporov-etym	major	unsupported_semantization	Утверждение о «досадной опечатке» Бакнелла не подкреплено ссылкой на издание; семантика корня *sūd* не обсуждается.	Добавьте конкретную ссылку на страницу издания Бакнелла и значение корня (например, 'очищать').
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	toporov-etym	major	unsupported_semantization	Семантика корня √ *sūd* не реконструируется, хотя стиль требует семантической реконструкции.	Добавьте хотя бы гипотетическое исходное значение или объяснение, почему оно не даётся.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	tronsky-readings	minor	weak_parallel	Утверждение об опечатке у Бакнелла (пропуск вокабулы √sūd) не подкреплено конкретной ссылкой на издание Бакнелла и его список поправок.	Приведите точную библиографическую ссылку на список поправок или укажите, какое издание имеется в виду.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	zaliznyak-method	major	missing_source	Утверждение о досадной опечатке (пропуск вокабулы) у Бакнелла не подкреплено прямым указанием на источник опечатки. Ссылка на список поправок, направленный автором в издательство, не содержит конкретных выходных данных (год, страницы). Кроме того, указание на то, что опечатка осталась неисправленной «несмотря на указания автора», требует верификации по доступным изданиям; без этого утверждение повисает в воздухе.	Привести точную ссылку на список поправок (например, «Bucknell 2006, Corrigenda, p. xii») или указать, что опечатка констатируется по сравнению с оригиналом Уитни, с указанием конкретного корня и страницы. Убрать неверифицируемое утверждение о направлении поправок.
3	gasuns2026-21-glava3-04	p016	02_gasuns-dhatu-PhD-text2.mdx	2669	23	zaliznyak-method	minor	historical_continuity	Утверждение о 200 корнях в древних текстах, 500 в древних и классических, 150 в поздних — нуждается в проверке по оригиналу Уитни. Без указания на конкретное издание и страницу эти цифры неверифицируемы.	Добавить ссылку: «Whitney 1885, xv, где указано...» или указать, что подсчет выполнен автором на основе анализа списка Уитни.
4	gasuns2026-03-vvedenie-03	p004	02_gasuns-dhatu-PhD-text2.mdx	359	21	elizarenkova-veda	major	missing_context_of_hymn	Обсуждение «звёздочек» и «крестиков» для реконструированных форм подаётся как общее замечание, но не связывается с ведийскими текстами. В поле Елизаренковой всё должно иметь корпусную опору в гимнах. Упоминание «интересного с точки зрения древнеиндийского языка материала» слишком расплывчато.	Конкретизировать: «...‘звёздочки’ при реконструированных праформах (например, *gʷṓus от РВ V.45.11) и ‘крестики’ для незасвидетельствованных форм обычно опускаются; тем не менее некоторые реконструкции важны для объяснения ведийских форм, вопрос отложен до дальнейшей работы».
4	gasuns2026-03-vvedenie-03	p004	02_gasuns-dhatu-PhD-text2.mdx	359	21	lidova-commentary	major	missing_authority_chain	Упоминание звездочек, крестиков и противопоставление реконструкции порождающей грамматике не связано с авторитетами и школами; не указано, какие традиции комментирования (например, бхашья или варттика) могли бы быть релевантны для обсуждения.	Вставить указание на то, что в традиционном комментарии различаются технический (разъяснительный) и аналитический (полемический) уровни; обсуждаемый отказ от реконструкции мог бы быть поставлен в контекст выбора между этими подходами.
4	gasuns2026-03-vvedenie-03	p004	02_gasuns-dhatu-PhD-text2.mdx	359	21	toporov-etym	major	unsupported_semantization	Фраза 'здесь почти отсутствуют столь привычные в работах по компаративистике «звездочки»' указывает на намеренный отказ от реконструированных форм, что противоречит основному требованию стиля: обязательно отделять реконструкцию от засвидетельствованного материала. Стиль предписывает использовать звёздочку для праформ.	Добавить реконструированные формы со звёздочкой (*) и различать их с засвидетельствованными. Например, если упоминается 'никогда не существовавшие формы', следует привести конкретные примеры с реконструкцией.
4	gasuns2026-03-vvedenie-03	p004	02_gasuns-dhatu-PhD-text2.mdx	359	21	toporov-etym	major	unsupported_sanskit_etymology	Автор заявляет, что 'старается избегать лингвистической внутренней и внешней реконструкции', что противоречит базовому методу сравнительно-исторического языкознания, на котором основан стиль. Без реконструкции невозможна этимология.	Переформулировать позицию: можно говорить о том, что работа сосредоточена на порождающей грамматике, но этимологический анализ требует реконструкции. Если реконструкции не приводятся, то фрагмент не соответствует стилю.
